Code;Site ID;Site;Region;ECM Category;Energy;Meter Category;State;Identification Date;Issue Identified;Corrective Action;ECM Creation Date;Estimated Consumtion kWh;Estimated Cost;Creation User;Blocked;Implemented;New;Realized;To be implemented;Updated;Last Save Date;Last Save Author;BMS;Behaviour;Maintenance;Refrigeration;Capital;Word Order Number;Work Complete;Under Contract;RMM Validated;Investment;Capital Investment;Type;Last Comment Date;Last Comment Author;Comments;Implementation Date;Type Code
342-09;342;Wincanton Aldermeads;South West;Refrigeration;Electricity;Refrigeration;Realized;25/02/2014 00:00:00;Floating Suction Enabled: The floating suction on pack HT800 (label name = 800.0 -- R407F) is not set efficiently. Floating Suction = FALSE, Max suction setpoint = 55.0 PSI, linked to CO2 = TRUE;The floating suction should be enabled on JTL, parameters could be set as follow: Max Setpoint = 55.0 PSI and at least 5 cases should be set in the floating suction configuration. Cases should be selected carefully and correspond to the worst scenario.;25/02/2014 09:00:00;411;37;Laurent Crolard;;2014/3/6 11:30;25/02/2014 09:00:00;2014/3/6 12:00;2014/3/6 10:30;;29/04/2015 14:25:10;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;13/05/2014 01:00:00;elutions@elutions.com;13/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : We have had an issue on this site , where we have had oil return problems when such a low head pressure store due a refit inament |27/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : Commissioning attended Site - 22.5.14, changed Set-points |03/06/2014 01:00:00|elutions@elutions.com|the floating setpoint is now at 48 PSI;;0
342-08;342;Wincanton Aldermeads;South West;Refrigeration;Electricity;Refrigeration;Updated;25/02/2014 00:00:00;Discharge Pressure Optimisation: The discharge pressure on pack HT500 (label name = 800.0 -- R407a) is set to 180 PSI [27.6°„C]. Floating Discharge = null, Refrigerant = null, Ambient Offset = null;The discharge setpoint on JTL, could be changed to 131.0 PSI [17°„C]. The floating discharge should be enabled. The refrigerant and the ambient offset should be adjusted.;25/02/2014 09:00:00;1943;175;Laurent Crolard;;;25/02/2014 09:00:00;;2014/3/6 10:30;25/07/2014 11:00:00;26/03/2015 18:18:50;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;13/05/2014 01:00:00;elutions@elutions.com;13/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : We have had an issue on this site , where we have had oil return problems when such a low head pressure store due a refit inament |27/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : Commissioning attended Site - 22.5.14, changed Set-points |03/06/2014 01:00:00|elutions@elutions.com|The setpoint is set at 174 PSI and the floating setpoint is in fault status. This could be reviewed.|25/07/2014 01:00:00|elutions@elutions.com|Following discussion with the refrigeration contractors and Morrisons,  JTL pack and Floating suction on CO2 pack will be on hold until further informations. This action could still be implemented (as it is on Penrith, see ECM 214-10).;;
360-09;360;Reigate Bell Street;South East;BMS;Electricity;HVAC;Realized;25/02/2014 00:00:00;The HV panel is Schedule correctly but the night level is only used for a few hours. The heating is enabled at 18:00 on sundays and at 23:00 most days. The temperature doesn't increases when the panel is starting.;The optimiser settings seems uncorrect and should be reviewed.;25/02/2014 09:00:00;34476;3103;Laurent Crolard;;30/05/2014 11:30:00;25/02/2014 09:00:00;30/05/2014 12:00:00;25/02/2014 09:30:00;;2014/12/8 12:42;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;25/02/2014 09:00:00;;;;;;;;;WITHOUT;;MANUAL;;;;;
072-12;72;Sheffield Ecclesfield;Midlands;BMS;Electricity;HVAC;Realized;25/02/2014 00:00:00;The night level isn't steady. At night The HV panel can consume about 2kW and sometimes 12kW.;All unnecessary operation should be avoided by adjusting and configuring set-back controls to either reduce the demand in afterhours or stop its operation after 22:00 on weekdays and at 16:00 on sundays.;25/02/2014 09:00:00;3640;328;Laurent Crolard;;14/04/2014 11:30:00;25/02/2014 09:00:00;14/04/2014 12:00:00;14/04/2014 10:30:00;;2014/12/8 12:43;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;25/02/2014 09:00:00;;;;;;;;;WITHOUT;;MANUAL;25/03/2014 00:00:00;mittons@elutions.com;25/03/2014 00:00:00|mittons@elutions.com|Software and frost protections amended;;
342-05;342;Wincanton Aldermeads;South West;Refrigeration;Electricity;Refrigeration;Updated;25/02/2014 00:00:00;Discharge Pressure Optimisation: The discharge pressure on pack LT300 (label name = not available -- r422d) is set to 180 PSI [31.7°„C]. Floating Discharge = null, Refrigerant = null, Ambient Offset = null;The discharge setpoint on JTL, could be changed to 136.2 PSI [22°„C]. The floating discharge should be enabled. The refrigerant and the ambient offset should be adjusted.;25/02/2014 09:00:00;13165;1185;Laurent Crolard;;;25/02/2014 09:00:00;;2014/3/6 10:30;25/07/2014 11:00:00;20/03/2015 14:56:01;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;13/05/2014 01:00:00;elutions@elutions.com;13/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : We have had an issue on this site , where we have had oil return problems when such a low head pressure store due a refit inament|03/06/2014 01:00:00|elutions@elutions.com|The setpoint is set at 174 PSI and the floating setpoint is in fault status. This could be reviewed.|25/07/2014 01:00:00|elutions@elutions.com|Following discussion with the refrigeration contractors and Morrisons,  JTL pack and Floating suction on CO2 pack will be on hold until further informations. This action could still be implemented (as it is on Penrith, see ECM 214-10).;;
342-04;342;Wincanton Aldermeads;South West;Refrigeration;Electricity;Refrigeration;Updated;25/02/2014 00:00:00;Discharge Pressure Optimisation: The discharge pressure on pack LT200 (label name = 600.0 -- r422d) is set to 180 PSI [31.7°„C]. Floating Discharge = null, Refrigerant = null, Ambient Offset = null;The discharge setpoint on JTL, could be changed to 136.2 PSI [22°„C]. The floating discharge should be enabled. The refrigerant and the ambient offset should be adjusted.;25/02/2014 09:00:00;16723;1505;Laurent Crolard;;;25/02/2014 09:00:00;;2014/3/6 10:30;25/07/2014 11:00:00;26/03/2015 18:18:50;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;13/05/2014 01:00:00;elutions@elutions.com;13/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : We have had an issue on this site , where we have had oil return problems when such a low head pressure store due a refit inament |27/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : Commissioning attended Site - 22.5.14, changed Set-points |03/06/2014 01:00:00|elutions@elutions.com|The setpoint is set at 174 PSI and the floating setpoint is in fault status. This could be reviewed.|25/07/2014 01:00:00|elutions@elutions.com|Following discussion with the refrigeration contractors and Morrisons,  JTL pack and Floating suction on CO2 pack will be on hold until further informations. This action could still be implemented (as it is on Penrith, see ECM 214-10).;;
342-03;342;Wincanton Aldermeads;South West;Refrigeration;Electricity;Refrigeration;To be implemented;25/02/2014 00:00:00;Discharge Pressure Optimisation: The discharge pressure on pack HT100 (label name = 700.0 -- r422d) is set to 180 PSI [31.7°„C]. Floating Discharge = null, Refrigerant = null, Ambient Offset = null;The discharge setpoint on JTL, could be changed to 136.2 PSI [22°„C]. The floating discharge should be enabled. The refrigerant and the ambient offset should be adjusted.;25/02/2014 09:00:00;30244;2722;Laurent Crolard;;;25/02/2014 09:00:00;;2015/12/2 11:41;25/07/2014 11:00:00;26/03/2015 18:18:50;Laurent CROLARD;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;13/05/2014 03:00:00;elutions@elutions.com;13/05/2014 03:00:00|elutions@elutions.com|Space Engineering Services Ltd said : We have had an issue on this site , where we have had oil return problems when such a low head pressure store due a refit inament|03/06/2014 03:00:00|elutions@elutions.com|The setpoint is set at 174 PSI and the floating setpoint is in fault status. This could be reviewed.|25/07/2014 03:00:00|elutions@elutions.com|Following discussion with the refrigeration contractors and Morrisons,  JTL pack and Floating suction on CO2 pack will be on hold until further informations. This action could still be implemented (as it is on Penrith, see ECM 214-10).;;
220-03;220;West Kirby Dee Lane;Midlands;Refrigeration;Electricity;Refrigeration;Blocked;25/02/2014 00:00:00;Discharge Pressure Optimisation: The discharge pressure on pack HT1 (label name = 100.0 -- R407a) is set to 160 PSI [23.5°„C]. Floating Discharge = null, Refrigerant = null, Ambient Offset = null;The discharge setpoint on JTL, could be changed to 131.0 PSI [17°„C]. The floating discharge should be enabled. The refrigerant and the ambient offset should be adjusted.;25/02/2014 09:00:00;29206;2629;Laurent Crolard;20/08/2014 08:22:13;;25/02/2014 09:00:00;;15/05/2014 10:30:00;25/07/2014 11:00:00;26/03/2015 18:18:50;RD Admin;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;17/06/2014 01:00:00;elutions@elutions.com;17/06/2014 01:00:00|elutions@elutions.com|In Toms, the controller details aren't filled correctly, No informations about setpoint, PID settings and the floating suction configuration isn't set, the floating is enabled. The historical data aren't available. could you review it? At night the temperature will be lower than the setpoint and the floating setpoint will be reached. when the temperature is higher than the setpoint - (7-10 °„C) The regulation should be used to keep a constant difference between outside temperature and discharge temperature. Is there a maintenance issue on this site? †|23/06/2014 01:00:00|elutions@elutions.com|George Barker & Co. (Leeds) Ltd said : adjusted as requested ~ however as the ambient temp is currently above this setpoint, the new set point can and will not be acheived untill outside ambient drops ~ all fans now funning flat out trying to acheive this new set point...?? Will revisit this in winter to check for lowered pressure issues / conditions and report if required.|23/06/2014 01:00:00|elutions@elutions.com|how it the regulation working? It suppose to be keeping the same difference between discharge temperature and outside temperature (except if the outside temperatude drops too low. Is it not what's happening? |25/07/2014 01:00:00|elutions@elutions.com|Following discussion with the refrigeration contractors and Morrisons,  JTL pack and Floating suction on CO2 pack will be on hold until further informations. This action could still be implemented (as it is on Penrith, see ECM 214-10).;;
333-22;333;Plymstock Pomphlett Road;South West;BMS;Electricity;HVAC;Updated;25/02/2014 00:00:00;The HV panel is on 24/7 with a power demand that goes from 20 kW to 30kW. 10 kW are added mostly during the opening hours but might not be essential as this isn't always on during opening hours.;First all unnessessary operations should be adjusted and sync with the closing time. the night level should be reached at 22:00 and only toilets extract fans and essential water pumps must be on. Some Equipment might be running if the temperature drops below the night setpoint.;25/02/2014 09:00:00;19136;1722;Laurent Crolard;;;25/02/2014 09:00:00;;25/02/2014 09:30:00;29/08/2014 16:05:24;29/08/2014 16:05:24;Tom Matthews;25/02/2014 09:00:00;;;;;;;;;WITHOUT;;MANUAL;2014/12/6 1:00;elutions@elutions.com;12/06/2014 01:00:00|elutions@elutions.com|Still no modification|30/06/2014 01:00:00|mittons@elutions.com|Reset times zones and optimiser to corporate standards. No other changes made, BMS operation and setpoints correct. No indication of 24/7 running: boilers, fans etc. shutting down correctly.|23/07/2014 01:00:00|elutions@elutions.com|The temperature is above 20°„C. There is only a slight reduction in the temperature at night without going below 18°„C. The gas consumption suggest that heating is still on in Summer. Cooling have been noticed on site and yet HVAC operations are high (minimal power 13.5 kW at night) which operations are still on? Do you have any information about AHUs, Suppy and extract fans status?  |29/08/2014 16:05:24|Tom Matthews| From what we can see from BMS and Optima there are no systems, other than the essential ones, staying on overnight  AHU inverters are shutting down, boiler temps are dropping and overnight gas consumption is negligible.;;
364-12;364;Totton Hounsdown;South West;Refrigeration;Electricity;Refrigeration;Implemented;25/02/2014 00:00:00;Floating Suction Enabled: The floating suction on pack LT800 (label name = LT-D -- R404A) is not set to operate efficiently. Floating Suction = null, Max suction setpoint = null PSI, linked to CO2 = FALSE;The floating Suction should be enabled on CDK, parameters could be set as follow: Max Float Diff = 14.6 PSI and at least 5 cases should be set in the floating suction configuration. Cases should be selected carefully and correspond to the worst scenario.;25/02/2014 09:00:00;5157;464;Laurent Crolard;;2014/6/10 19:16;25/02/2014 09:00:00;;2014/3/6 10:30;;26/03/2015 18:18:51;Craig Lloyd;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;13/05/2014 01:00:00;elutions@elutions.com;13/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : Settings changed  |27/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : Commissioning attended Site - 22.5.14, changed Set-points |02/06/2014 01:00:00|elutions@elutions.com|The floating setpoint is still at 8 PSI|09/07/2014 01:00:00|elutions@elutions.com|The floating suction isn't enabled but the cases aren't configured. |06/10/2014 19:16:05|Craig Lloyd|This has been adjusted today to the above;;
364-11;364;Totton Hounsdown;South West;Refrigeration;Electricity;Refrigeration;Implemented;25/02/2014 00:00:00;Suction Pressure Optimisation: The suction pressure on pack LT800 (label name = LT-D -- R404A) is set to 8.0 PSI [-36.1 °„C]. Floating Suction Mode = Null;The suction setpoint on CDK, could be changed to 11.2 PSI [-33°„C]. The floating suction mode should be enabled if possible.;25/02/2014 09:00:00;7450;670;Laurent Crolard;;2014/6/10 19:16;25/02/2014 09:00:00;;2014/3/6 10:30;;26/03/2015 18:18:51;Craig Lloyd;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;13/05/2014 01:00:00;elutions@elutions.com;13/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : Settings changed  |27/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : Commissioning attended Site - 22.5.14, changed Set-points |02/06/2014 01:00:00|elutions@elutions.com|The floating setpoint is still at 8 PSI;;
364-10;364;Totton Hounsdown;South West;Refrigeration;Electricity;Refrigeration;Implemented;25/02/2014 00:00:00;Discharge Pressure Optimisation: The discharge pressure on pack LT800 (label name = LT-D -- R404A) is set to 161 PSI [23.7°„C]. Floating Discharge = null, Refrigerant = null, Ambient Offset = null;The discharge setpoint on CDK, could be changed to 153.3 PSI [22°„C]. The floating discharge should be enabled. The refrigerant and the ambient offset should be adjusted.;25/02/2014 09:00:00;2975;268;Laurent Crolard;;2014/6/10 19:18;25/02/2014 09:00:00;;2014/3/6 10:30;;20/03/2015 14:56:02;Craig Lloyd;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;13/05/2014 01:00:00;elutions@elutions.com;13/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : Settings changed  |27/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : Commissioning attended Site - 22.5.14, changed Set-points |02/06/2014 01:00:00|elutions@elutions.com|The floating setpoint is still at 161 PSI|06/10/2014 19:18:02|Craig Lloyd|This was carried out today;;
364-09;364;Totton Hounsdown;South West;Refrigeration;Electricity;Refrigeration;Implemented;25/02/2014 00:00:00;Floating Suction Enabled: The floating suction on pack HT700 (label name = HTB-D -- R407a) is not set to operate efficiently. Floating Suction = null, Max suction setpoint = null PSI, linked to CO2 = FALSE;The floating Suction should be enabled on CDK, parameters could be set as follow: Max Float Diff = 45.9 PSI and at least 5 cases should be set in the floating suction configuration. Cases should be selected carefully and correspond to the worst scenario.;25/02/2014 09:00:00;4508;406;Laurent Crolard;;2014/6/10 19:18;25/02/2014 09:00:00;;2014/3/6 10:30;;26/03/2015 18:18:51;Craig Lloyd;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;13/05/2014 01:00:00;elutions@elutions.com;13/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : Settings changed  |27/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : Commissioning attended Site - 22.5.14, changed Set-points |02/06/2014 01:00:00|elutions@elutions.com|The floating setpoint is still at 38 PSI|09/07/2014 01:00:00|elutions@elutions.com|The floating mode is enabled and the cases are configured, but the max float diff is set to 4 and the setpoint is set to 35 PSI, it cannot reach the submitted setpoint. Could you increases the max float diff from 4 to 11 PSI. The suction is stable at 39 PSI, but the historical value can't be seen. |06/10/2014 19:18:43|Craig Lloyd|This was carried out today;;
364-08;364;Totton Hounsdown;South West;Refrigeration;Electricity;Refrigeration;Implemented;25/02/2014 00:00:00;Discharge Pressure Optimisation: The discharge pressure on pack HT700 (label name = HTB-D -- R407a) is set to 165 PSI [24.6°„C]. Floating Discharge = null, Refrigerant = null, Ambient Offset = null;The discharge setpoint on CDK, could be changed to 131.0 PSI [17°„C]. The floating discharge should be enabled. The refrigerant and the ambient offset should be adjusted.;25/02/2014 09:00:00;15159;1364;Laurent Crolard;;2014/6/10 19:19;25/02/2014 09:00:00;;2014/3/6 10:30;;20/03/2015 14:56:02;Craig Lloyd;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;13/05/2014 01:00:00;elutions@elutions.com;13/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : Settings changed  |27/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : Commissioning Schedueld to attend  Site -  27.5.14 |02/06/2014 01:00:00|elutions@elutions.com|The floating setpoint is still at 165 PSI|06/10/2014 19:19:35|Craig Lloyd|This was carried out today;;
364-07;364;Totton Hounsdown;South West;Refrigeration;Electricity;Refrigeration;Implemented;25/02/2014 00:00:00;Discharge Pressure Optimisation: The discharge pressure on pack HT600 (label name = HTA-D -- R407a) is set to 165 PSI [24.6°„C]. Floating Discharge = null, Refrigerant = null, Ambient Offset = null;The discharge setpoint on CDK, could be changed to 131.0 PSI [17°„C]. The floating discharge should be enabled. The refrigerant and the ambient offset should be adjusted.;25/02/2014 09:00:00;24398;2196;Laurent Crolard;;2014/6/10 19:20;25/02/2014 09:00:00;;2014/3/6 10:30;;20/03/2015 14:56:02;Craig Lloyd;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;13/05/2014 01:00:00;elutions@elutions.com;13/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : Settings changed  |27/05/2014 01:00:00|elutions@elutions.com|Space Engineering Services Ltd said : Commissioning Schedueld to attend  Site -  27.5.14 |02/06/2014 01:00:00|elutions@elutions.com|The floating setpoint is still at 165 PSI|06/10/2014 19:20:12|Craig Lloyd|This was carried out today;;
218-27;218;Thornton Cleveleys;North;Capital;Electricity;Refrigeration;New;25/02/2014 00:00:00;Floating Suction Enabled: The floating suction on pack HT2 Compressor Pack (label name = 200.0 -- R407A) is not set efficiently. Floating Suction = FALSE, Max suction setpoint = 45.0 PSI, linked to CO2 = TRUE;The floating suction should be enabled on JTL, parameters could be set as follow: Max Setpoint = 45.3 PSI and at least 5 cases should be set in the floating suction configuration. Cases should be selected carefully and correspond to the worst scenario.;25/02/2014 09:00:00;6228;561;Laurent Crolard;;;2014/1/9 13:00;;15/05/2014 10:30:00;25/07/2014 11:00:00;29/04/2015 14:25:10;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;;;;25/02/2014 09:00:00;2014/1/9 13:00;;;;;WITHOUT;;MANUAL;2014/9/7 1:00;elutions@elutions.com;09/07/2014 01:00:00|elutions@elutions.com|The floating suction isn't enabled. The max float Diff is set to 0 and the cases aren't configured.|25/07/2014 01:00:00|elutions@elutions.com|Following discussion with the refrigeration contractors and Morrisons,  JTL pack and Floating suction on CO2 pack will be on hold until further informations. This action could still be implemented (as it is on Penrith, see ECM 214-10).;;0
176-09;176;Edinburgh Portobello Road;Scotland;BMS;Electricity;HVAC;Realized;22/02/2014 21:00:00;Some equipments are starting earlier and are stopping after the closing time on the main HV panel mostly on sundays.;All unnecessary operation should be avoided by adjusting and configuring set-back controls to either reduce the demand in afterhours or stop its operation after 20:00.;25/02/2014 09:00:00;416;37;Laurent Crolard;;2014/8/7 14:30;25/02/2014 09:00:00;2014/8/7 15:00;2014/8/7 13:30;25/04/2014 11:00:00;2014/12/8 12:37;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;25/02/2014 09:00:00;;;;;;;;;WITHOUT;;MANUAL;14/04/2014 01:00:00;mittons@elutions.com;14/04/2014 01:00:00|mittons@elutions.com|Timing, setpoint and optimser adjusted;;
218-26;218;Thornton Cleveleys;North;Capital;Electricity;Refrigeration;New;25/02/2014 00:00:00;Floating Suction Enabled: The floating suction on pack HT1 Compressor Pack (label name = 100.0 -- R407A) is not set efficiently. Floating Suction = FALSE, Max suction setpoint = 45.0 PSI, linked to CO2 = TRUE;The floating suction should be enabled on JTL, parameters could be set as follow: Max Setpoint = 45.3 PSI and at least 5 cases should be set in the floating suction configuration. Cases should be selected carefully and correspond to the worst scenario.;25/02/2014 09:00:00;6781;610;Laurent Crolard;;;2014/1/9 13:00;;15/05/2014 10:30:00;25/07/2014 11:00:00;29/04/2015 14:25:10;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;;;;25/02/2014 09:00:00;2014/1/9 13:00;;;;;WITHOUT;;MANUAL;2014/9/7 1:00;elutions@elutions.com;09/07/2014 01:00:00|elutions@elutions.com|The floating suction isn't enabled. The max float Diff is set to 0 and the cases aren't configured.|25/07/2014 01:00:00|elutions@elutions.com|Following discussion with the refrigeration contractors and Morrisons,  JTL pack and Floating suction on CO2 pack will be on hold until further informations. This action could still be implemented (as it is on Penrith, see ECM 214-10).;;0
218-25;218;Thornton Cleveleys;North;Capital;Electricity;Refrigeration;New;25/02/2014 00:00:00;Floating Suction Enabled: The floating suction on pack LT1 Compressor Pack (label name = 300.0 -- R744) is not set efficiently. Floating Suction = FALSE, Max suction setpoint = 182.0 PSI, linked to CO2 = TRUE;The floating suction should be enabled on JTL, parameters could be set as follow: Max Setpoint = 192.6 PSI and at least 5 cases should be set in the floating suction configuration. Cases should be selected carefully and correspond to the worst scenario.;25/02/2014 09:00:00;4724;425;Laurent Crolard;;;2014/1/9 13:00;;15/05/2014 10:30:00;25/07/2014 11:00:00;29/04/2015 14:25:10;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;;;;25/02/2014 09:00:00;2014/1/9 13:00;;;;;WITHOUT;;MANUAL;2014/9/7 1:00;elutions@elutions.com;09/07/2014 01:00:00|elutions@elutions.com|The floating suction isn't enabled. The max float Diff is set to 0 and the cases aren't configured.|25/07/2014 01:00:00|elutions@elutions.com|Following discussion with the refrigeration contractors and Morrisons,  JTL pack and Floating suction on CO2 pack will be on hold until further informations. This action could still be implemented (as it is on Penrith, see ECM 214-10).;;0
218-24;218;Thornton Cleveleys;North;Refrigeration;Electricity;Refrigeration;Implemented;25/02/2014 00:00:00;Suction Pressure Optimisation: The suction pressure on pack LT1 Compressor Pack (label name = 300.0 -- R744) is set to 172.0 PSI [-33.1 °„C]. Floating Suction Mode = FALSE;The suction setpoint on JTL could be changed to 172.5 PSI [-33°„C]. The floating suction mode should be enabled if possible.;25/02/2014 09:00:00;2558;230;Laurent Crolard;;2014/10/12 8:39;25/02/2014 09:00:00;;2014/2/9 11:53;25/07/2014 11:00:00;29/04/2015 14:25:11;Richard Lacey;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;25/07/2014 05:00:00;elutions@elutions.com;25/07/2014 05:00:00|elutions@elutions.com|Following discussion with the refrigeration contractors and Morrisons,  JTL pack and Floating suction on CO2 pack will be on hold until further informations. This action could still be implemented (as it is on Penrith, see ECM 214-10).|02/09/2014 15:53:26|RD Admin|The discharge pressure is displaying an error and the suction is still set to 165 PSI. The suction is going above the setpoint and sometimes reaches 185 PSI during the day when the load is higher. All cases are reaching setpoint. Could you start a trial and increase the suction setpoint?|10/12/2014 09:38:42|Richard Lacey|Changed to 172psi;;0
047-08;47;Sunderland Seaburn;Scotland;Refrigeration;Electricity;Refrigeration;Realized;25/02/2014 00:00:00;Discharge Pressure Optimisation: The discharge pressure on pack HT200 (label name = 200.0 -- R407A) is set to 180 PSI [27.6°„C]. Floating Discharge = null, Refrigerant = null, Ambient Offset = null;The discharge setpoint on JTL, could be changed to 131.0 PSI [17°„C]. The floating discharge should be enabled. The refrigerant and the ambient offset should be adjusted.;25/02/2014 09:00:00;31087;2798;Laurent Crolard;;2014/2/6 11:30;25/02/2014 09:00:00;2014/2/6 12:00;2014/2/6 10:30;;26/03/2015 18:18:52;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;27/05/2014 01:00:00;elutions@elutions.com;27/05/2014 01:00:00|elutions@elutions.com|Integral UK Ltd (REFR)(PREVIOUSLY WR) said : Complete|02/06/2014 01:00:00|elutions@elutions.com|The discharge and suction have been changed on LT, HT1 and HT2.|11/07/2014 01:00:00|elutions@elutions.com|Integral UK Ltd (REFR)(PREVIOUSLY WR) said : Completed on first request. ;;
047-07;47;Sunderland Seaburn;Scotland;Refrigeration;Electricity;Refrigeration;Realized;25/02/2014 00:00:00;Discharge Pressure Optimisation: The discharge pressure on pack HT100 (label name = 100.0 -- R407A) is set to 180 PSI [27.6°„C]. Floating Discharge = null, Refrigerant = null, Ambient Offset = null;The discharge setpoint on JTL, could be changed to 131.0 PSI [17°„C]. The floating discharge should be enabled. The refrigerant and the ambient offset should be adjusted.;25/02/2014 09:00:00;28444;2560;Laurent Crolard;;2014/2/6 11:30;25/02/2014 09:00:00;2014/2/6 12:00;2014/2/6 10:30;;26/03/2015 18:18:52;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;27/05/2014 01:00:00;elutions@elutions.com;27/05/2014 01:00:00|elutions@elutions.com|Integral UK Ltd (REFR)(PREVIOUSLY WR) said : Complete|02/06/2014 01:00:00|elutions@elutions.com|The discharge and suction have been changed on LT, HT1 and HT2.|11/07/2014 01:00:00|elutions@elutions.com|Integral UK Ltd (REFR)(PREVIOUSLY WR) said : Completed on first request. ;;
047-06;47;Sunderland Seaburn;Scotland;Refrigeration;Electricity;Refrigeration;Realized;25/02/2014 00:00:00;Suction Pressure Optimisation: The suction pressure on pack LT1 (label name = 300.1 -- R744) is set to 150.0 PSI [-36.7 °„C]. Floating Suction Mode = Null;The suction setpoint on JTL, could be changed to 172.5 PSI [-33°„C]. The floating suction mode should be enabled if possible.;25/02/2014 09:00:00;5399;486;Laurent Crolard;;2014/2/6 11:30;25/02/2014 09:00:00;2014/2/6 12:00;2014/2/6 10:30;;26/03/2015 18:18:52;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;27/05/2014 01:00:00;elutions@elutions.com;27/05/2014 01:00:00|elutions@elutions.com|Integral UK Ltd (REFR)(PREVIOUSLY WR) said : Complete|02/06/2014 01:00:00|elutions@elutions.com|The discharge and suction have been changed on LT, HT1 and HT2.|11/07/2014 01:00:00|elutions@elutions.com|Integral UK Ltd (REFR)(PREVIOUSLY WR) said : Completed on first request. ;;
140-06;140;Strood;South East;Refrigeration;Electricity;Refrigeration;Blocked;25/02/2014 00:00:00;Floating Suction Enabled: The floating suction on pack LT1 (label name = LT-D -- R404A) is not set to operate efficiently. Floating Suction = null, Max suction setpoint = null PSI, linked to CO2 = FALSE;The floating Suction should be enabled on CDK, parameters could be set as follow: Max Float Diff = 14.6 PSI and at least 5 cases should be set in the floating suction configuration. Cases should be selected carefully and correspond to the worst scenario.;25/02/2014 09:00:00;7019;632;Laurent Crolard;20/08/2014 08:21:34;;25/02/2014 09:00:00;;2014/3/6 10:30;20/08/2014 08:21:12;26/03/2015 18:18:52;RD Admin;;;;25/02/2014 09:00:00;;;;;;WITHOUT;;MANUAL;27/05/2014 01:00:00;elutions@elutions.com;27/05/2014 01:00:00|elutions@elutions.com|Ryan Jayberg said : No facility for that|03/06/2014 01:00:00|elutions@elutions.com|The floating suction setpoint is at 11 PSI.|09/07/2014 01:00:00|elutions@elutions.com|The floating suction is enabled but the cases aren't configured. Why is would it be rejected, what do you mean by no facility for it? ;;
